Apple Creek Fm of Lemhi Gp	2500.0000	541.0000	2500.0000	541.0000
Aquajito Shale	13.8200	11.6200	13.8200	11.6200
Aquaqua Fm	33.9000	28.1000	20.4400	15.9700
Aquathuna Fm	477.7000	470.0000	477.7000	470.0000
Aquia Fm	59.2000	56.0000	59.2000	56.0000
Aquia Fm	66.0000	61.6000	59.2000	56.0000
Aquifer Complex	11.6200	7.2460	5.3330	3.6000
Araby Fm	541.0000	513.0000	513.0000	501.0000
Aragon	56.0000	47.8000	47.8000	41.3000
Aragon Fm	56.0000	47.8000	47.8000	41.3000
Arapahoe Fm	72.1000	66.0000	72.1000	66.0000
Arapien Shale	170.3000	168.3000	163.5000	157.3000
Arbuckle Gp	485.4000	477.7000	485.4000	477.7000
Arbuckle Gp	485.4000	477.7000	477.7000	470.0000
Arbuckle Gp	496.8000	492.5000	477.7000	470.0000
Arbuckle Gp	492.5000	485.4000	477.7000	470.0000
Arbuckle Gp	501.0000	496.8000	477.7000	470.0000
Arc Fm	23.0300	20.4400	20.4400	15.9700
Arcadia	28.1000	23.0300	23.0300	20.4400
Arcadia Fm of Hawthorne Gp	28.1000	23.0300	23.0300	20.4400
Arcadia Fm of Hawthorne Gp	20.4400	15.9700	20.4400	15.9700
Archer Fiord	541.0000	513.0000	541.0000	513.0000
Archer Fiord Fm	529.0000	521.0000	529.0000	521.0000
Archibald	228.0000	208.5000	199.3000	190.8000
Archibald	201.3000	199.3000	199.3000	190.8000
Archusa Marl Mbr of Cook Mountain Fm	41.3000	38.0000	41.3000	38.0000
Arco Hills Fm	333.0000	323.2000	333.0000	323.2000
Arcola Limestone Mbr	83.6000	72.1000	83.6000	72.1000
Arcs	379.0000	372.2000	379.0000	372.2000
Arcs	382.7000	372.2000	382.7000	372.2000
Arcs Mbr	382.7000	372.2000	382.7000	372.2000
Arctic B.	850.0000	541.0000	850.0000	541.0000
Arctic B.	1300.0000	850.0000	1300.0000	850.0000
Arctic Bay Fm	1600.0000	1000.0000	1000.0000	541.0000
Arctic Bay, Fabricius Fiord	850.0000	541.0000	850.0000	541.0000
Arctic Red	113.0000	100.5000	113.0000	100.5000
Arctic Red Fm	113.0000	100.5000	113.0000	100.5000
Arctomys	513.0000	501.0000	513.0000	501.0000
Arctomys Fm	513.0000	501.0000	513.0000	501.0000
